feature,importance
Freq_Intensity_Product,0.18798700787769188
Intensity_Level_encoded_Diff_1,0.06568794721371247
Intensity_Level_encoded_Diff_7,0.0472697045010623
Freq_Intensity_Product_Diff_7,0.045759725139362765
Freq_Intensity_Product_Diff_1,0.04442757723254123
Freq_Intensity_Product_Rolling_3d_Min,0.026217297393778014
Intensity_Level_encoded_Rolling_3d_Std,0.025817498939186768
Intensity_Level_encoded_Rolling_3d_Mean,0.023763808651760008
Intensity_Level_encoded_Rolling_3d_Max,0.01829153757075474
Risk_Indicator_Freq,0.015687326667664626
Intensity_Level_encoded_Rolling_3d_Min,0.012973149598735145
Freq_Intensity_Product_Rolling_3d_Max,0.012292788510844463
Freq_Intensity_Product_Rolling_3d_Std,0.010975547403802808
Freq_Intensity_Product_Rolling_3d_Mean,0.009918132776672587
Intensity_Level_encoded_Rolling_7d_Std,0.00847456256371488
Cumulative_Energy_Density_Diff_1,0.007301292139721115
Energy_per_Volume_log,0.005984687113254797
Freq_Intensity_Product_Lag_1,0.005765098371870309
Event_freq_unit_per_day_log,0.005425805449890172
Freq_Intensity_Product_Lag_7,0.004994641973478033
Freq_Intensity_Product_Lag_2,0.004896507361045941
Intensity_Level_encoded_Lag_1,0.004595642012833568
Energy_per_Volume_log_Diff_7,0.00449118212180032
Energy_density_Joule_sqr,0.004337867828916398
Freq_Intensity_Product_Rolling_7d_Mean,0.0036890976779551405
Intensity_Level_encoded_Lag_2,0.003602655365780341
Event_freq_unit_per_day_log_Diff_1,0.0035473140041899147
Energy_density_Joule_sqr_Diff_7,0.003233525072401215
Volume_m3_per_day_sqr,0.0032126090054754464
Freq_Intensity_Product_Rolling_7d_Min,0.0032075941833189774
Intensity_Level_encoded_Rolling_7d_Mean,0.003146156213054226
Intensity_Level_encoded_Lag_7,0.003062217083044488
Energy_density_Joule_sqr_Diff_1,0.002982429875519411
Volume_m3_per_day_sqr_Diff_1,0.002797266615713523
Energy_per_Volume_log_Diff_1,0.0027333913906444473
Volume_Energy_Stability_Ratio_Diff_1,0.002675393518493188
Intensity_Level_encoded_Rolling_14d_Std,0.00266635128075554
Cumulative_Energy_Density_Rolling_3d_Std,0.002602376451287819
Intensity_Level_encoded_Rolling_14d_Mean,0.002453023992408991
Intensity_Level_encoded_Rolling_7d_Min,0.002285397927903269
Energy_Joule_per_day_sqr,0.002213477988633238
